Ponto,Arquivo,Shape,Dtype,Min,Max
Point16,SegmentationInterior.tif,"(2048, 2048)",uint8,0,1
Point16,Si.tif,"(2048, 2048)",uint16,0,519
Point16,SMA.tif,"(2048, 2048)",uint16,0,46
Point16,Ta.tif,"(2048, 2048)",uint16,0,399
Point16,Vimentin.tif,"(2048, 2048)",uint16,0,232
Point17,Au.tif,"(2048, 2048)",uint16,0,342
Point17,B7H3.tif,"(2048, 2048)",uint16,0,6
Point17,Background.tif,"(2048, 2048)",uint16,0,24
Point17,Beta catenin.tif,"(2048, 2048)",uint16,0,32
Point17,C.tif,"(2048, 2048)",uint16,0,0
Point17,Ca.tif,"(2048, 2048)",uint16,0,115
Point17,CD11b.tif,"(2048, 2048)",uint16,0,16
Point17,CD11c.tif,"(2048, 2048)",uint16,0,21
Point17,CD138.tif,"(2048, 2048)",uint16,0,36
Point17,CD16.tif,"(2048, 2048)",uint16,0,25
Point17,CD163.tif,"(2048, 2048)",uint16,0,25
Point17,CD20.tif,"(2048, 2048)",uint16,0,86
Point17,CD209.tif,"(2048, 2048)",uint16,0,14
Point17,CD3.tif,"(2048, 2048)",uint16,0,11
Point17,CD31.tif,"(2048, 2048)",uint16,0,7
Point17,CD4.tif,"(2048, 2048)",uint16,0,10
Point17,CD45.tif,"(2048, 2048)",uint16,0,44
Point17,CD45RO.tif,"(2048, 2048)",uint16,0,18
Point17,CD56.tif,"(2048, 2048)",uint16,0,12
Point17,CD63.tif,"(2048, 2048)",uint16,0,33
Point17,CD68.tif,"(2048, 2048)",uint16,0,37
Point17,CD8.tif,"(2048, 2048)",uint16,0,23
Point17,CSF-1R.tif,"(2048, 2048)",uint16,0,26
Point17,dsDNA.tif,"(2048, 2048)",uint16,0,94
Point17,EGFR.tif,"(2048, 2048)",uint16,0,7
Point17,Fe.tif,"(2048, 2048)",uint16,0,508
Point17,FoxP3.tif,"(2048, 2048)",uint16,0,7
Point17,H3K27me3.tif,"(2048, 2048)",uint16,0,118
Point17,H3K9ac.tif,"(2048, 2048)",uint16,0,47
Point17,HLA-DR.tif,"(2048, 2048)",uint16,0,109
Point17,HLA_Class_1.tif,"(2048, 2048)",uint16,0,56
Point17,IDO.tif,"(2048, 2048)",uint16,0,15
Point17,Keratin17.tif,"(2048, 2048)",uint16,0,60
Point17,Keratin6.tif,"(2048, 2048)",uint16,0,238
Point17,Ki67.tif,"(2048, 2048)",uint16,0,29
Point17,Lag3.tif,"(2048, 2048)",uint16,0,16
Point17,MPO.tif,"(2048, 2048)",uint16,0,103
Point17,Na.tif,"(2048, 2048)",uint16,0,305
Point17,OX40.tif,"(2048, 2048)",uint16,0,11
Point17,P.tif,"(2048, 2048)",uint16,0,30
Point17,p53.tif,"(2048, 2048)",uint16,0,20
Point17,Pan-Keratin.tif,"(2048, 2048)",uint16,0,43
Point17,PD-L1.tif,"(2048, 2048)",uint16,0,9
Point17,PD1.tif,"(2048, 2048)",uint16,0,14
Point17,phospho-S6.tif,"(2048, 2048)",uint16,0,34
Point17,Segmentation.tif,"(2048, 2048)",uint16,0,1
Point17,SegmentationInterior.tif,"(2048, 2048)",uint8,0,1
